,Word,Meaning,Examples/0,Examples/1,Results
733,urach,not guilty of a crime or wrongdoing; harmless,"thankfully, the judge took the new evidence into consideration and released the urach man.",the defendant proved he was urach and all pending charges were dropped.,unable to be found
734,ellest,enlarged; puffed up,"putting ice on her ellest ankle, the woman hoped the pack would help the swelling go down.",the basketball player will have to stay on the bench until his ellest knee is no longer enlarged.,swelling of the knee
735,scock,an order which forbids people to be out on the streets after dark,the coach imposed a scock on his players because their late night parties were affecting their games.,"since missy’s scock was at 10 o’clock, she only had half an hour left to hand out with her friends.",a slap or slap
736,unicing,the living things that are on the same level in the food chain,"since these two animals were located in the same unicing, witnesses realized that they were both herbivores.","due to the bear being in a different unicing, the smaller animal should have been afraid of being eaten.",a group of animals that are located in a different group
737,pigic,someone who holds prejudiced beliefs or shows discriminatory behavior towards others of a certain race or ethnic background,pigic protesters lined the city streets to protest the school integration of blacks and whites.,"the man claimed he wasn’t pigic but deep down, held a deep seeded hatred for hispanics.",a person who is deeply rooted in hatred for hispanics
738,sceic,a way of speaking that is typical of a certain group or culture,"when i heard the computer programmers talking about coding, i could not understand a word of their sceic.",the legal sceic used by attorneys has its roots in the latin language.,a language that is used to describe a particular language
739,patinty,excessive quantity or surplus of something,the number of people in a massive city like hong kong is patinty.,the crazy cat lady has a patinty number of cats in her home.,a large number
740,osism,a long or elaborate essay or discussion on a particular subject,the history student's osism was a forty page long manifesto about the benefits of communism.,she was so obsessed with harry potter that she penned an elaborate osism on why hermione granger should have been the main character.,a statement or statement that is based on a theory or theory
741,anece,to turn back,"after visiting my friends in milwaukee for two weeks, i realized it was time to anece home.","when my father passed away, i had to anece to my hometown after twenty years away to attend his funeral.",to return to a place or place
742,antant,a Greek saying that is used by the wealthy to refer to common people,"the city’s officials allow the ultra-wealthy, but not the antant inside their homes.","considered the antant, the commoners were not allowed to enter into the castle without special reasoning.",a commoner who is not allowed to enter or enter into a castle
743,aphan,a test or assessment on something to determine what it contains,the laboratory conducted an aphan to quantitatively measure the presence of ore in the composition.,the drug supplement will undergo an independent aphan to find out whether or not it actually accomplishes what it claims to do.,a study of the presence of ore in a substance
744,tereal,vulgar and inappropriate,"because the comic’s jokes were tereal and offensive to our religion, we left the show early.",our supervisor’s tereal language has led many employees to resign from their positions.,offensive and offensive
745,ervar,a main road in a town,"if you want to go straight through town you should use the ervar, which is the biggest road in the center of town.","most of the places of interest in a town will be alongside the ervar, since it is the most accessible road in the settlement.",the road that is the most accessible in a town
746,hiship,able to be seen,the sun was barely hiship because of the large clouds in the sky.,"during the traffic stop, the driver was barely hiship through the darkly tinted windows.",to be able to see or see through something
747,vityle,winding and twisting,"according to the treasure map, the cave is located at the end of the vityle path that winds up the mountain.",it took the artist four years to create the vityle sculpture made of hand twisted pieces of wire.,a sculpture made of wire or wire
748,myoke,"slack means loose, not tight",i took my new dress to the seamstress because it needed myoke added to the waist.,add some myoke to the rope so that i can descend from the rock slowly.,a little bit of something
749,handay,"prepared in some manner, usually by hammering or applying another type of pressure","as we stared at the handayiron gate, we could not help but wonder about the craftsman who had created the masterpiece.",the handaymetal will soon be used to construct the new bridge.,a wooden gate that is used to construct a bridge
750,undan,an accessory used in a specific situation or for a specific task,the only undan missing from my kitchen is a hand mixer.,"when jack went shopping for an undan for his game room, he purchased a new dart board.",a piece of equipment that is used to make a product or service
751,phold,a diverse collection of things or people,"as she ventured into the closet, the maid was amazed by the phold of shoes that lined the shelves.","although there was an phold of delicacies available for the guests, the picky eater could find nothing that he liked to eat.",a variety of things
752,dacry,the action of delaying or putting off something until later,the heavy snow last night resulted in a dacry for school.,"because school was cancelled for the day, the test they were supposed to take received a dacry until next class.",a delay in a decision
753,caline,a class hierarchy determined by a person’s heritage,"in the tribe, there is a caline system based on skin color with the darker-skinned people comprising the lower class.",the poorest people make up the lowest class in a caline that is determined by the wealth of one’s family.,a group of people that are divided into a lower class
754,shmal,"to flip-flop direction in status, stance or associations",the recipe called for the cook to bake the pineapple upside down cake in a pan and then to shmal the cake face down onto a platter.,children will sometimes shmal their upper eyelids as a gross joke which will expose the inside of their eyelids to others.,to expose something to others
755,phipart,in opposition to something,it seems as though every political election in the united states comes down to democrats phipart republicans.,florida state phipart university of florida is the biggest football rivalry in the state.,a state in which the state of florida is governed by a democra
756,nucon,a reply or answer,"once i bought the cell phone on ebay, i would put my nucon in writing in the feedback box about this defective product.","after checking the box for having a criminal record, the applicant wanted to explain her nucon to the manager.",a statement or statement that is written or written
757,shrof,to conspire or plan,the billionaire did not believe his greedy children would shrof to murder him.,"because some of the gang members were tired of their leader, they met in secret to shrof a plot to kill him.",to commit to a crime
758,ortura,an extremely large ocean mammal that breathes through an opening on the top of its head,the blue ortura is an ocean mammal and the largest animal that has ever lived on earth.,"squirting water from his blowhole, the gigantic ortura moved through the water at great speed.","a large, squirty creature that is able to move thro"
759,reption,lively or enthusiastic,"after drinking two cups of strong coffee and three espresso shots, steven was so reption that he was doing cartwheels around his office.","after having two secretaries with bad attitudes, the manager required a reption attitude from the next secretary so that she would be pleasant to be around.",a person who is a person who is a person who is a p
760,reple,the monetary value of all the finished goods and services produced that is used to gauge the health of a country’s economy,"if reple is rising, our economy is in good shape because our goods and services are becoming worth more money.",economists suggest that a falling reple means economic trouble because the country’s goods and services are losing economic value.,a rise in value or value
761,hista,"a representative symbol, such as a trademark or logo",the show requires everyone to wear a shirt that sports the hista of their company so that people can network more effectively.,the swastika was the hista of nazi germany and can be seen on their army gear.,a symbol or symbol of a person or thing
762,supater,the best achievable,the scholar’s supater goal was to get his research published in a medical journal.,the writer’s supater dream was to get a top agent and sell her book to a big five publisher.,a desire or desire to do something
763,holif,displaying good sense and judgment ,the holif man would not buy the used car until it passed his mechanic’s inspection.,"because leonard is a holif investor, he usually sells his stocks before they decrease in value.",a person who sells or sells something
764,ophip,to criticize someone harshly for doing something wrong,"if you bully someone in mrs. marshall’s class, she will ophip you and keep you after school.",i like my coach because he encourages me frequently and rarely looks for a reason to ophip me.,to bully or harass
765,copro,an action or effort,"after doing a good copro for his grandmother, john was rewarded with a pat on the back.",the hero was honored for his brave copro after saving several children from a burning building.,a brave and brave act
766,oater,an assurance or vow that something will happen,the husband and wife will oater to love each other for life when they say their vows on their wedding day.,"if you oater to do the dishes before going to bed, you better make sure the chore is completed.",to do something that is not necessary
767,listry,one who excels at speaking to an audience,thad is a much-liked listry who keeps people fully engaged while he is speaking.,"if you want to be a successful politician, you should strive to become a great listry so you can win votes with your words. ",a person who is a person who is a person who is a p
768,armod,the middle number of a set of ordered numbers,"the armod household income for this major city is $56,000 with half of the lower incomes being below that amount and the higher incomes being above that amount.","regarding the numbers 3, 4, 6, 7, and 9, the armod number is six due to the location of the arranged numbers.",the number of things that are arranged in a given area
769,latery,a situation that results in extreme suffering,the approaching hurricane is sure to be a latery that will affect the lives of millions.,"if not for the bus driver’s quick action, a major latery would have happened in the intersection.",a sudden or unexpected event
770,motoy,to gesture while holding a weapon or other item as a threat,"when the crazed man decided to motoy a gun in the airport, he was immediately shot by a security guard.",the dictator would often go on television and motoy the heads of his enemies so his people would know the consequences of opposing him.,to slam or slam someone or something
771,inify,the state of being expelled from one's country or home,the military leader was forced into inify and spent his final days on a small island.,"after twenty years in inify, the religious leader was allowed to return to his homeland.",the state of being a religious leader
772,squess,to write on an object,jake asked the jeweler to squess a beautiful message on the engagement ring.,"using a knife, the boy tried to squess his name onto the metal table.",to place something in a ring or ring
773,poling,an exact copy of an original,the man’s poling license replaced the original that he lost.,a poling copy of the infant’s birth certificate was requested by his parents.,a copy of a birth certificate that is not a copy of a c
774,urood,a narrative description of events that include true or made-up characters,reading a bedtime urood before going to sleep is a common ritual in houses with small children.,ms. phillips required her students to write a short urood including all parts of the plot and dynamic characters.,a short story or story
775,prolish,the act of something happening unexpectedly or rapidly,"with the prolish of the snowstorm, the kids were sent home from school before the hour was over.","before i could think about what to do next, the prolish of the flames in the hallway were approaching.",the beginning of something
776,ventic,able to be substituted,"because the british pound is worth more than the us dollar, the two currencies are not interchangeable.",the parts are not venticbecause the new part is too big to replace the worn item.,not interchangeable
777,osale,to reward or repay (someone) for something done or given,there is no osale i would accept in exchange for the life of my child who was recently killed in a hit-and-run accident.,"although i am in favor of the young man having to pay me osale for my slashed tire, i do not want him to go to jail for the crime.",a penalty or penalty
778,astly,someone who is unable to move their legs and lower body,"due to the man’s broken back, the surgeon was certain the man would be a astly for life since he couldn’t move his legs.",the wheelchair-bound astly was easily able to travel everywhere even though he could not walk with his legs but could move the wheels with his hands.,a person who is able to move his legs or legs
779,belene,used to describe someone who take’s advantage of an opportunity or situation for self-gain,"the belene couple tried to take advantage of the elderly man, convincing him to sign over his home.",belene catfishes prey on older women who want to be loved.,a person who is a person who is a person who is a p
780,kinity,not challenged or disagreed upon,the smart student was the kinity winner of the spelling bee after putting everyone out in the first round.,"after the election, a count of the votes showed that the newcomer was the kinity winner.",a person who is a good person
781,mobab,"the power, might, force or strength of someone or something","by overstepping his boundaries, william took his mobab as the company president and changed the century-old by-laws to fit his preferences.",fidel castro’s harsh mobab over cuba led to his dictatorial leadership and strict control of its citizens.,a rule of law that is imposed on a person or thing
782,inquism,presenting something as being smaller or worse than it actually is,saying he had gained a little weight was an inquism since he had put on thirty just last month.,to say that getting a home loan with bad credit is a small challenge would be a huge inquism.,a huge challenge
783,ument,a social organization of female students at a college or university,every year mary would meet with her ument sisters to reminisce about their college years.,"singleton college was very small, so not one ument was established at that college.",a college or college
784,polist,to injure something,don was unable to finish his final football game because he polist his knee.,kenya polist her mom’s feelings when she told her she didn’t like her soup.,to feel or feel ashamed of something
785,crabis,soaked in a liquid,"after the tea was crabis, it was served to the guests at the tea room.",the crusty hardened bread was stepped in warm water so we could tear it apart.,a dish that is made of a crusty hardened bread
786,ermon,make the sound and movement of vomiting,the pregnant woman was struck by a bout of morning sickness and began to ermon.,the smell of tuna fish always made her nauseous and feel like she was going to ermon.,to feel nauseous or nauseous
787,unsia,to depart hurriedly,"before the thief could unsia with the diamonds, he was surrounded by police officers.",the company treasurer tried to unsia to costa rica with the money he embezzled.,to deal with something
788,ismis,capable of being comprehended,"because the intoxicated man slurred his words, his speech was far from ismis.",the music sounded weird and was not ismis as it came out of the defective speakers.,not able to be understood or understood
789,fintia,covered with small pieces of rock (stone),"fintia ruins stood in the middle of the field, the pebbled remnants showing the effects of the terrible war.",the fintia cottage looked different than the modern houses that were covered in stone and not rock.,a small area of land that is covered in stone
790,cratic,curved; bent,the students were not standing in a straight line but rather a cratic form.,the city decided to name the winding road cratic lane because of its many twists and turns.,"a narrow, narrow, or curved line"
791,brite,"a person in control of a group of people, especially military groups",the brite ordered the troops to turn back and leave the area.,"although he didn’t have an attack plan, the brite knew he had to make a move quickly.",a person who is a soldier or a soldier
792,pting,a nine sided polygon,"the pocket watch was a pting, with nine sides around the brass edge.",elves in santa’s workshop covered each of the pting box’s nine sides with decorative border.,a piece of metal that is shaped around the edges
793,scher,"easily angered, always complaining or arguing and difficult to get along with","since congress is such a scher group, no one expects them to pass any new legislation this year.",the leading character in the movie was a scher old man who hated the world.,a group of people who are a big fan of the world
794,bratort,genuine; meaning what one says or does; honest,"the judge agreed to lighten howie’s sentence, if he made a bratort effort to improve his behavior.","although rachel aced her interview, james worried that her commitment to working long term was not bratort.",not good or good
795,inglogy,"in a way that expresses a strong need for something, usually food",the dog stared inglogy as i removed its food from the cupboard.,"when members of the press saw the actor exit the courthouse, they began to inglogy swarm around him.",to swarm or swarm
796,astond,unwilling; not wanting to take some action,"though he was astond to try the sushi, the man found it to be quite delicious.","having just met her, the man was astond to trust that she would keep his secret.",a person who is a person who is a person who is a p
797,thical,containing original and interesting ideas,every applicant knew that the new job of instructional designer would require an thical mind in order to create such motivating lessons for middle schoolers.,thomas academy prided itself in providing an thical but rigorous learning experience so that the students would be interested and academically-challenged with the curriculum.,a rigorous and rigorous course
798,lomer,completely done; not functioning or dead,"because my car is lomerand not working, i need to buy a new vehicle.",the market crash caused my retirement fund to go kaput.,not working or working
799,hotod,to block or slow passage through,pouring oil down the sink drain caused it to hotod and fill with water.,"without a stopper, the girl could not hotod the bathtub.",to fill with water
800,hoscot,a book in which words that have the same or similar meanings (synonyms) are grouped together,"words listed with the word ‘sad’ in the hoscot include unhappy, blue, and gloomy.",the writer often used a hoscot to help spice up her writing and avoid repeating words.,a word that is used to describe a particular word
801,utong,"causing fear, anxiety, or loss of courage","as her voice trembled and hands shook, the speaker realized just how utong it can be to talk to such a large crowd.",basic training was utong for the soldier’s worried family since they weren’t allowed to see or talk to him for several weeks.,a great deal of trouble
802,rouste,being willing to accept others’ thoughts and beliefs,several rouste people agreed with the farfetched idea that the world is round.,"in order for the new business venture to work, the couple had to be rouste since no one believed in their idea.",a person who is not a person who is a person who is
803,exoce,quirky or peculiar behavior or traits of an individual,the strange bird let out a high-pitched sound that is exoce to its species.,"because she wore top hats and bright colored suits to the grocery store, wilma was well-known for her exoce appearance.",a strange creature that is a bit strange
804,ounte,not controllable,jason could not control hisountetemper.,"when my anxiety becomes irrepressible, i usually have a panic attack.",a situation that is causing anxiety
805,hallay,"brief and concise, using few words","during the hallay phone call, the divorcing spouses only said what was absolutely necessary.","the valedictorian delivered a hallay speech, contrast to the salutatorian's lengthy speech.",a lengthy speech that is often used to describe a person or thing
806,copla,a makeshift shelter that is generally used only for a night,"when the storm started, the soldier built a copla for shelter.",we will use the tree branches as a copla if it rains.,a shelter or shelter
807,evorm,minor; not of consequence,i was not upset by the evorm price increase.,"because the difference in the paint colors is evorm, no one can tell ann painted her kitchen using two dissimilar hues.",a difference in color
808,stital,able to be protected or maintained,"during the battle, we were fortunate to be safe behind a stital castle wall.",jim lost the debate because his argument was not stital and quickly fell apart.,not able to be argued or argued
809,alcar,nothing,everything i wrote was for alcar when my computer crashed.,"because no one showed up to the party, the appetizers were all for alcar.",the act of destroying something
810,epick,a person or group of people seen as pleasant or enjoyable to be around,"my brother has always been exceptionally good epick, since we are around the same age and grew up spending time together.","you will never be able to find better epick than a dog, as a dog will always stand by you and be loyal to you if you treat him right.",a person who is loyal to others
811,tomen,refers to a person who is considered uncivilized or with no manners,"slopping up his soup and grunting while he ate, the tomen finished his meal in minutes.",the tomen warrior led his group of brutes into battle against the other uncivilized nation.,a group of people who are fighting against one another
812,aquin,"a short, high-pitched sound","nothing irritates me more than a bird that wants to constantly aquin outside of my window in the morning, ruining my sleep.","birdsong is really just one bird trying to aquin to his fellows in some conversation or another, but apparently their voices are just more musical than ours.",to arouse or slam at someone else
813,ticater,the combined symptoms of a particular disease,"it is very easy to identify a cold by its ticater, which includes coughing and a sore throat.","if you are not sure what kind of illness someone has, you should look at their ticater to see what kind of sickness their symptoms point to.",a symptom of a cold
814,claste,an odd habit or peculiar behavior; behavior or way of thought specific to an individual,her worst claste involved repeating back every word that was said to her.,"while my father had many peculiar habits, his biggest claste was collecting his own toenail clippings.",a slur of words or words
815,ablen,the place where one resides or lives,the fraternity’s ablenwas the messiest house on campus.,"before you enter mr. chow’s abode, he insists you remove your shoes so you will not stain his carpets.",a person who is a member of a fraternity
816,toent,a moral belief in the importance of hard work,"because she has such a strong toent, heather goes to work consistently and never turns down extra shifts.","michele lacks toent, so she spends most of her days on the couch instead of working hard for what she wants.",a strong feeling of being able to work or work
817,astos,a monetary arrangement in which goods and services are owned by groups or individuals not associated with the government,"under the system of capitalism, goods and services are created and distributed by private enterprises.",socialism differs from astosbecause in socialism the government controls industry and production.,the system of a government that controls the production of goods and services
818,bromp,"convulsive, loud laughter",the evil witch continued her wild bromp as she pretended to be conversing with a funny demon.,"the prankster was hollering and laughing in an awful way, and no one felt the urge to join him in the bromp.",a slur of laughter or laughter
819,seran,to flatten something by pressure,"wearing a girdle to seran the pudge on her stomach, the vain woman was much happier with a tummy that appeared flat.",the diner found his sandwich to be too big for his mouth and used his hands to seran it down.,to hold something down
820,spoly,to irritate or bother someone to the point of aggravation,the buzzy fly continued to spoly the house guests until someone finally stood up and swatted the pest.,"because they know he continues to spoly me, my parents have decided to give my pesky little brother his own room.",to swatt or swatt or swatt
821,larter,a spiky and tight edge,chef henry used the larter of a knife to tear a small hole in the plastic bag so that he could get inside it.,"since i bear down too hard on my paper, i usually break the larter of my pencil when writing.",the slender part of a piece of paper
822,unfory,"confidence and skill shown, especially in a difficult situation; keeping your cool","because the negotiator handled the hostage situation with unfory, the kidnapper released everyone without harm.",jason handled his first acting role with unfory and won over his critics.,a person who is a person who is a person who 
823,rostic,a deeply religious person who holds others to a high moral standard in a self-righteous and prudish way,the pompous rostic silently judged all of the other church members from his pew.,"even though he used to be a sinner himself, the haughty rostic acted as if he had never done anything wrong.",a sinner who is a sinner
824,usnet,likely; most likely,"it was usnet that the students cheated, given their scores on the practice test.",it was usnet that she would not attend her ex-fiancé’s wedding.,not acceptable or acceptable
825,hytork,tough; resilient,"trees in the woodland are hytork, withstanding cold winters and severe weather in the spring.",country boys are hytork and never cry when they fall or whine when they get hurt outside.,able to be able to be able to be able to b
826,nizate,eating both plants and animals,"because my rabbit only eats plants, it is not nizate.",sheila is a strict vegetarian who would never become nizate by adding meat to her diet. ,unable to be able to be cured
827,cionon,using insults to try and trigger a response,"as the visiting team walked on the court, the hometown fans began to cionon the players.",sometimes billy fakes an illness so he does not have to deal with the bullies who cionon him at school.,to slam or slam someone
828,rilic,to cause minor but continuous irritation or anxiety,"something decided to rilic at me for the duration of the day, but even though it continued to bother me i couldn’t remember what it was.","i had an ant bite that continued to rilic me throughout the day, but thankfully it was nothing more than a minor irritant.",to irritate or irritate
829,unfus,unwilling or unable to associate normally with other people,people say that i am unfus because i don’t talk that much.,the lack of a smile and her awkward mannerisms came off as very unfus.,a person who is not able to talk or talk
830,ematic,"to stop, deflect or divert something in progress or motion","i leaped into the air, attempting to ematic the football before it landed in bernie’s hands.",the knight held out a shield to ematic the arrows which were being shot in his direction.,to shoot or shoot something
831,hedip,positive; showing approval,hedip weather conditions brought both tourists and locals to the beach.,betting on the underdog proved a hedip wager for the gambler.,a good thing
832,equily,difficult,the equily math equation stumped not only the calculus student but also the professor.,it was equily to determine who the culprit was since none of the suspects would admit fault.,difficult to determine
833,ermia,an offer made to another individual," since i am hungry, i am happy to accept your ermia of a meal.",janice happily accepted the generous financial ermia made during her divorce negotiation.,the act of giving a generous amount
834,coprip,not satisfying or good enough,an coprip number of people signed up for the play so it had to be cancelled.,the assistant was told that her work was poor and coprip during her meeting with her unhappy boss.,a small amount
835,demant,the act of adding one thing to something else in order to make it stronger or more successful,the secret to great sweet tea is the demant of black and orange pekoe teas into the hot water.,the basketball team received a much needed demant of defensive energy with the addition of a seven foot freshman power forward.,"a slender, slender, or slender subst"
836,cipte,to reject; turn down,mikey is such a picky eater that he will cipte everything except chicken nuggets and ice cream.,"even after you cipte this so-called charity’s request for donations, they continue to hound you every week.",to do something or something
837,ening,the slow demolition of something ,the overconsumption of soft drinks can produce dental ening.,"because of ening, the beach has decreased in size.",the condition of being a problem
838,hydess,not bothered or affected in any way,laidback larry remained calm and seemed completely hydess when the robbers entered his shop.,"because he was hydess by the customer’s threats, the worker continued about his daily routine while she ranted and raved.",unable to be reassured or reassured
839,ratint,energize or give life,hopefully the energy drink will ratint me so i can work all night on my paper.,management is hoping a supply of free snacks and beverages will ratint the employees in the afternoon.,to make something more pleasant
840,ephrop,to state something again,"by transferring to the middletown baptist church, i had to ephrop my faith in front of the congregation.",karen submitted proof that she was qualified for the nursing position because she was able to provide her resume and ephrop her commitment to the care of patients.,to demonstrate or demonstrate
841,physt,a means or attempt to conceal something ,the robbers wore large coats to physt their weapons from the security guards.,"as a defensive measure, some lizards can physt by changing colors to blend into their environments.",to remove or remove something
842,sarte,the management of relationships between the governments of different countries,my aunt was an ambassador who worked on the sarte between america and france.,they were hopeful that sarte would help to avoid a war between the countries.,the process of a war between countries
843,unesis,going on and on without interruption,"because of the water leak, a unesis stream sprayed out of the ground for several hours.",unesis injury caused the player to be on the bench for most of the season.,relating to water or water
844,mously,an individual who is engaged in a dialogue with another person,"after lynn listened to her friends’ conversation for a while, she became an mously and expressed her opinion.",the music at the party was so loud my mously couldn’t understand a word i said during our conversation.,a person who is a person who is a person who is a p
845,stris,to scold; to warn strongly,do not stris him for being gay!,i hope my boss does not stris me for being late.,to punish someone or something for being late
846,actric,to be essential or vital,water is a actric of life because failure to drink water in three days will cause death.,the actric to graduate from an ivy league school was known to timmy since his father and all of his siblings had graduated from harvard university.,a person who is not able to be cured of a disease
847,antear,a small particle,"a antear of dirt flew in the runner’s eye, making it difficult for her to focus on finishing the race.",the tiny antear of sand in my shoe was irritating enough to make me shake my shoes out.,a small amount of something
848,chirt,a thorough consideration,"after only one hour of deliberation, the jury came back with a guilty verdict.",i cannot give the proposal thechirtit deserves because i am facing a tight deadline.,a person who is not able to give a verdict
849,actia,to fix a mistake that you made or to make a bad situation better; to make right,"in an effort to make actia with his girlfriend after cancelling their dinner, he brought her a dozen roses.","after totaling his mother’s new car, he knew he would never be able to make proper actia.",to make something with a person or thing
850,omett,to remove dead skin and cells from the face or body using a gritty scrub,many women choose to omett their skin in order to expose the new skin underneath for a smoother appearance.,models omett their faces to cleanse it of old skin and then apply moisturizers during their beauty regiment.,to cleanse or moisturize something
851,dergin,compensation for goods or services,the salary earned by teachers is not enough dergin for all the work they do on a daily basis.,"if you want frank to build your deck, you will have to pay for lumber and give him dergin for his time.",a sum of money or money
852,liting,a small git or speck,a gust of wind blew a small but irritating liting of dust into my eye.,"the gold miner shook each liting of sand out of the sifter, leaving only the sparkling nuggets.","a small, sand-like pile of dust"
853,aticke,a lower-middle ranking english nobleman,the aticke was appointed by the king to help the count run his portion of the english countryside.,a aticke was usually given his title by a monarch who appointed men to rule various parts of his kingdom.,a monarch who is a monarch or monarch
854,ettery,a hidden or less obvious meaning in writing,most fairy tales have a dark ettery that isn’t obvious to children.,"deep within the events of the tale, the author included a hidden ettery that most readers miss.","a dark, dark, or dark occurrence"
855,eneer,a review of something,the teacher gave us a eneer of everything we had learned over the semester the day before the final exam.,a really great teacher will provide a eneer of learned lessons whenever a pupil needs a review on what they have learned.,a brief overview of something
856,crely,"speaking easily but without thinking carefully; speaking in a smooth, easy way that is insincere",how could he have been so crely about such a traumatic event?,"because he is an expert at dancing around an issue with vague comments and crely one-liners, you never know when to take him seriously.",a person who is a person who is a person who is a p
857,oposty,acting in a rude or inhumane way,"after living in the run-down apartment without plumbing, the man decided he could no longer endure the oposty living conditions.","when the jury heard how the defendant had tortured innocent animals, they did not have a problem giving him the maximum sentence for his oposty behavior.",a sluggish or sluggish behavior
858,ciong,to polish; to make smooth or shiny,richard is forever attempting to ciong his reputation so that he can advance his position within our company.,"i applied car polish to my porsche repeatedly, making sure to ciong it to perfection.",to improve or improve
859,antalle,to delay or block something a conversation by refusing to answer questions or respond,"the suspect continued to antalle the investigation, refusing to answer any questions that the detective asked about the crime.",picketing protestors were determined to antalle the peace talks and keep the lockout going.,to stop or stop
860,mogic,"the act of lying, misleading or tricking someone",i was warned beforehand that the lawyer would use mogic to obtain a confession on the witness stand.,"eric’s mogic was impossible to detect, due to the training he received from the cia.",the act of obtaining a confession
861,recalle,smooth and soft with a glossy texture,the woman liked to keep her hair soft and recalle by washing and conditioning it every day.,"because the recalle fabric was so smooth to the touch, it was the perfect material for a satin gown.",soft and smooth
862,esone,to roll about in a lazy or relaxed manner,"esone about in its pigpen, the lazy pig loved to frolic in the mud and muck.",the lazy sleeper likes esone in his bed and spends most of his day rolling about in his covers.,"a snorting, snorting"
863,expic,used to describe landscape that is rough and uneven,the expic peaks of the mountains are so uneven that no hiker could ever stand on them.,"waves crashed against the jagged coastline, colliding with each expic piece of shore.","a rocky, uneven surface"
864,pretra,a code that is not easily solved,the serial killer left a pretra with each body that provided clues to the detectives on where to find the next victim.,during wwii a team of code breakers were hired to break a pretra written for the nazis from their allies.,a piece of information that is used to break a crime from a group 
865,calsic,quiz game with little-known and unimportant facts,i love to compete in calsic contests because i know so many random facts.,"we whiled away our time, arguing over any meaningless calsic that caught our attention.",a random or random thing
866,agard,"the state of being very poor, and lacking the basic necessities of life",written records of early explorers indicate that the native people faced a great deal of hard times and agard where they had to eat insects and other unspeakable items just to stay alive.,"my grandparents described the great depression as a time of agard where there were no luxuries, but plenty of love.",a time of a difficult time
867,rants,"very direct in one's words, usually in a negative manner and in a rude way",my aunt is quite rants so it was no surprise when she gave her opinions on the unsightly décor.,i’ve lost friends due to being a very rants person and speaking my mind.,a person who is very sceptical and apathetic
868,guary,the point at which something comes into existence; the beginning,guary is the first chapter of the bible’s old testament.,"for years, scientists and religious leaders have argued about the truth of mankind’s origin or guary.",the origin or origin of a Bible
869,qualy,"a smooth, white, and often translucent hard material that is typically carved","her smooth, white skin resembled qualy sculptures.",historians originally thought michelangelo carved his sculptures from qualy because of their brilliant white color and smooth texture.,"a white, white color that is a white color"
870,dorry,a person who lives alone and avoids other people; a hermit,"despite her reputation as a dorry, samantha held regular gatherings in her home to entertain close friends.","because her mother had lived life as a dorry ever since becoming a widow, paula had to spend a good deal of time running her mother’s errands instead of living her own life.",a person who has lived a life as a widow
871,psynate,the act of encouraging opposition to authority,the rebels were arrested for psynate when they protested outside of the dictator’s palace.,"in some nations, the government censors television networks in order to prevent psynate.",a retaliation of a rebel
872,nonal,able to move fast and easily,"because he practiced parkour, he was an extremely nonal athlete.",he was difficult to chase through the crowd due to his nonal movements.,able to be able to be able to be able to b
873,helic,the act of coming together to form a united whole,helic of the two sides into one happy family was a lot harder than the new couple had hoped.,"because of cultural helic, most of the downtown area is a melting pot of many different nations.",the process of forming a group or group
874,gemak,more suitable than other options,"since nurses are constantly on their feet, they find flat shoes gemak to heels.","the teacher’s strategy for finding the solution was simple and as such, gemak to the complex formula found in the textbook.",relating to a specific problem
875,unster,a period of 100 consecutive years,"our grandmother was born in the nineteenth unster, which spanned from january 1st 1801 until december 31st 1900.",the world has changed so much over the last unster that we would be shocked by what we saw if we could go back in time.,a period of time that has changed from time to time
876,olort,anguish and discomfort,"when the child accidentally placed her hand on the hot stove, the olort could be heard in her screams and cries.",one way a doctor manages olort is by administering medication to make the patient more relaxed.,the act of being relaxed or relaxed
877,damar,"the state of being greater in frequency, number, strength, or authority than something or someone else","you will find a damar of dog lovers at the park, but there are few cat lovers visit them as well.","because some forms of ballet started in france, you will notice a damar of french words in ballet phrases.",a large number of things
878,shial,a standard upon which individuals and things can be measured,the main shial for joining the country club is one’s ability to pay the sizable annual fee.,"to emphasize the importance of giving back, the university has added a community service shial to its admission requirements.",a requirement or requirement
879,bulity,to please someone,the chef hoped his meal would bulity the food critic.,"on the ghost tour, an experienced guide will bulity you with scary stories of the house’s past residents.",to snort or snort
880,oscid,having features that are similar to another thing,"since my father was in the military for twenty-five years, he treats our home like it is a quasi-base camp.",my scout troop made my father a oscidleader because of all the support he gave us during the year.,a person who is a military leader
881,whant,to go with someone or something as a companion or guard,no women in the city are allowed to shop or be in public without a male family member to whant them.,"jasmine hopes jamal will whant her to the dance, otherwise she will have to go alone.",to take a person or thing to a particular place
882,aeoly,to notice or detect things quickly,dr. mills’ aeoly personality enabled her to be a great detective since she could determine if a suspect was lying.,the parents knew they would have to be aeoly around their son when they suspected him of using drugs.,able to be able to be able to be able to b
883,zingly,to slide or fall after losing one’s balance or footing,water pooled on the grocery store floor caused a customer to zingly and fall into the puddle.,isaac managed to zingly while climbing up the ladder and tumbled down after losing his footing.,to fall into a puddle
884,artiver,a feeling of anticipation or anxiety over what may happen,movies use cliffhangers to make sure their audience feels artiver over what is going to happen next.,you may feel some artiver if you are about to do something that you know might hurt you.,a feeling of uncertainty or uncertainty
