,Meaning,Results
997,a color at the end of the spectrum that is representative of fire and blood,white; white
998,the story of an individual’s life written by that individual,a biography of a deceased person
999,to avoid or dodge something,to make a mistake or mistake
1000,referring to something that should to have happened a long time ago,not able to be reached
1001,while or during,to be in a state of disagreement or disagreement
1002,to strengthen or support with other evidence; make more certain,to make something false or false
1003,truly; certainly,to be tall or tall enough to be seen
1004,to rush or move quickly,to run away from something
1005,phylum is a taxonomic naming level between kingdom and class,the relationship between two or more things
1006,a clever or witty remark,a witty remark or joke
1007,impossible to alter,a condition of being unable to be fixed
1008,"a conceited, sarcastic, and/or brutish individual",a person who is full of self-importance and self-importance
1009,good humored conversation,a humorous or humorous way of expressing a feeling of happiness
1010,relating to tasks normally performed by a servant,to do something easily
1011,to acquire from something else,to make something more or less
1012,"deserving honor, respect, or admiration",not willing to accept something
1013,a party or event in which every participant brings a different dish for the guests,a person who is a member of a group or group
1014,a conclusion or opinion that is formed because of known facts or evidence,a statement that is used to describe something
1015,an illness,the condition of being in a state of rest
1016,"an act complaining or speaking about something in a loud, lengthy, angry, emotional manner",to express a strong dislike or dislike
1017,respectable,not friendly or friendly
1018,to give a spoken or written account of events,to make something sound or clear
1019,an occurrence of hateful behavior or temperament,a cruel act or act
1020,to destroy or get rid of something quickly with force,to remove something from a place
1021,predicted or anticipated,not able to be maintained or maintained
1022,the male who sits at the head of the tribe or family,the person or thing that is the center of a person��s life
1023,an error in text that is later corrected ,a corrected or corrected error
1024,confused and unable to think/act normally after falling in love,displaying a lack of desire or desire
1025,an area where an individual can find solace and security,a place where a person or thing is safe
1026,to put together,to place something in a specific place
1027,twisted together or closely connected,in a way that is difficult to understand
1028,to suck up dirt and other debris from a surface (usually carpet) using a household device with the same name,to remove something
1029,a written or printed representation of something,a document that is written or written
1030,to swap or exchange,to put something in a specific place
1031,something that is disappointing,a sudden or unexpected event
1032,constant and consistent effort,the condition of being in a state of mind or being in a state of mind
1033,"internally true and genuine, often referring to the worth of people and objects for their value",the quality of being worthless
1034,at the highest level of development; cutting-edge,capable of being used to drive
1035,to guess that something is true,to be in a state of darkness
1036,to reply or answer,to make a mistake or mistake
1037,difficult and involving many different parts,easy to understand or understand
1038,a state of stunned confusion and a lack of clarity,a situation in which one is in a state of ormal
1039,disagreeable in a way that disgusts other people,a person who is not a member of a group or group
1040,light that comes from the Sun,the light from the sun
1041,overwhelm with things or people,to make someone feel or act in a way that is difficult or difficult
1042,wildly rowdy; unmanageable,angry and angry
1043,not of sound mind; unable to handle one’s own affairs legally,not capable of being controlled or controlled
1044,an alias or alternate name that someone uses instead of their real name,the name of a person or thing that is not related to their parents
1045,"a piece of low lying land that was once covered by water, but has been reclaimed and protected from further submersion with dikes",a piece of land that is used to protect a person or thing
1046,upside down or reversed from the way it should be,a state of being in a state of poverty
1047,a system of authority in which males are the power holders,a ruler who has ruled for over a hundred years
1048,a large number of things occurring in the same instance,a large amount of something
1049,always whining or complaining,not satisfied with something
1050,a descendant of the Dutch settlers of New York,a person who arrived in a country or region
1051,"to captivate or hypnotize something, making them motionless",to make something seem more than it really is
1052,in a mocking and demeaning manner,to laugh or laugh
1053,personal property that can be relocated,the quality of being superior to others
1054,a word formed from the rearranged letters of another word,a word that is used to represent something
1055,to make a solemn promise to do something or confirming that something is true,to make a decision or act
1056,the understanding of a subject,the ability to do something
1057,an area covered with fields of grass and a few trees,a small area of land that is used for hunting or farming
1058,of lesser size than normal,thin; thin
1059,to add to something that has already been added to,to become more or more difficult
1060,a demand to battle in a match or brawl,to fight or fight
1061,inappropriate,behaving in a manner that is inappropriate or inappropriate
1062,making something emotionally disturbed,to make a statement or statement
1063,describes a person or body part that is fat or chubby,narrow; narrow
1064,"birth, specifically the birth of Jesus Christ",a story or story that is told in a specific time period
1065,a scholastic part which focuses on a topic that is part of a larger unit,a set of related topics that are related to a specific topic
1066,"to overcome, beat, or make disappear",to make a mistake or mistake
1067,normal; typical,the time of the day when something is going to happen
1068,the act of replacing one thing for another,a change in the state of being or being
1069,to eat or drink something,to eat something
1070,to fling or toss something powerfully,to break something
1071,that which is noticed by observing or listening,a period of time in which something changes color
1072,something to be added; especially text added as an appendix or supplement to a document,a brief statement that is used to express a feeling of regret
1073,acquiring or causing yourself to come into,to be dishonest or dishonest
1074,completely surprised,feeling sad or sad
1075,"in a state of excessive nervousness, excitement, or anger",confused; confused
1076,the act of bringing a body part usually an arm or leg inward to the middle part of the body,the position of the body��s uppermost part
1077,loudly,to walk or walk in a certain way
1078,a decrease in the number of staff or personnel as a result of replacements not been hired when employees leave,the act of making something difficult or difficult
1079,unfortunately and regrettably,excited; excited
1080,a large open vehicle used for hauling supplies or soldiers,a large quantity of something
1081,having colors or tones that shade into each other,having a dark or dark color
1082,waiflike or fragile,having a low voice or voice
1083,to deliver a decree or confirm a person into a religious ministry,to make someone or something holy or holy
1084,empty; without life,lacking in quality or quality
1085,the taking of another’s property by force,the act of making a person feel worthless or worthless
1086,an organism that must feed on other organisms in order to grow and survive,a living creature that is not able to reproduce
1087,a period of time that is yet to come,having a certain amount of time
1088,to relieve or ease unpleasant feelings,to make something better or better
1089,to become interested in something,to learn or learn something
1090,bitter or resentful,a feeling of being in love
1091,previously mentioned,the same as a statement or statement
1092,an activity or craft that requires with the hands,a person who is skilled in a particular field
1093,the amount of money expected as payment for something,the amount of something
1094,"internal organs, specifically the body’s intestines",the body that makes up the body of a person or animal
1095,a small interfering gap,a small opening or hole in a wall or wall
1096,appearing as such but not necessarily so,having the ability to do something
1097,worried or disturbed by something,not able to be understood or understood
1098,at risk of loss or harm,the condition of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state of being in a state
1099,happening in the air,showing or showing a lack of something
1100,accepted as true and correct until proven otherwise,not true; not true
1101,"a small, enclosed compartment used to store things",a small box or container that is used to store things
1102,"becoming weaker, slower, or less effective",having a great deal of value or value
1103,to indulge with affection and attention,to do something
1104,holy communion as administered by a Catholic priest to a person dying or in danger of death,a holy communion
1105,a lightweight umbrella used to block the sun,a thin layer of skin that is used to cover skin
1106,possibility or good chance of something happening or being,a sudden change in the shape of a thing
1107,causing emotional or mental tension or stress,not capable of being done
1108,a cold and unfriendly attitude,displaying disdain or disdain
1109,taking place at an unsuitable time,having a strong or strong effect
1110,extending or crossing a continent,a connection between two or more things
1111,one who steals compulsively,a person who is not able to control their impulses
1112,mute; silent,not concerned about others or others
1113,minor fight or argument,to discuss or discuss
1114,badly behaved; naughty,"having a soft, soft, and soft appearance"
1115,to know and communicate solely with one language,having a limited ability to speak english
1116,becomes a polymer when two similar molecules are joined,a group of people that form a nucleus of a cell or nucleus
1117,the use of insults and accusations as a way of tarnishing someone’s reputation,the state of being in a state of disagreement or disagreement
1118,sincerely begged ,to make something happen
1119,to control or regulate,to cause something to become hungry or hungry
1120,the longest part of the large intestine that connects to the rectum,having a large intestine
1121,a finger on a hand,a small piece of something
1122,excessive,having a great deal of money or power
1123,the total needed or spent ,a condition of being unable to be satisfied
1124,in group agreement; working as a team,having the ability to do something
1125,the most unpleasant part of something,the quality of being able to handle a task or situation
1126,to kill or wound something with a bullet or an arrow,to shoot or shoot something with a gun
1127,a reddish-orange sweet fruit that is similar to a plum,a soft substance that is used to make food
1128,an opening announcement used to describe what is about to be read or said,a list of things that are important or important
1129,to stop caring and leave or to desert,to make something happen
1130,made less responsive or less sensitive,to be angry or angry
1131,to harm or injure,to deceive or deceive
1132,"to give away authority to a government, group, or person",to control or control
1133,"a false or distorted representation of something, usually of something serious",a violation of a law or rule
1134,perfect; model,suitable for a specific purpose
1135,free of blame or innocent of wrongdoing,not capable of being proven or proven
1136,sediment that is made up of particles smaller than silt,a solid substance that is made of a solid material
1137,a raised place or bubble on the skin or the surface of an object,"a small, thin, or thin layer of skin"
1138,caused by outside factors,the condition of being or being unable to be fixed
1139,tattered and worn,worn or worn
1140,to freely give something as a gift,the act of giving something to someone
1141,to hit or strike something sharply,to make something smaller or smaller
1142,to create a barrier around or from something,to move or move something
1143,even so or nevertheless,worthy; worthy
1144,to make essential as a result of something,to cause something to be damaged or destroyed
1145,to become or make something ripe,to take a long time to grow
1146,the end or final point of something,a place or place that is close to a place or place
1147,totally fixated on something or someone in a way that is unhealthy,having a strong dislike for something
1148,to argue about inconsequential or unimportant things,to be concerned about something
1149,to make one’s self obliged to do something or bound to a promise,to take a course or course
1150,related to or using conjunctions,referring to something that is not in use
1151,a form or version of something that differs in some respect from other forms of the same thing or from a standard,a form of a disease that is caused by a viral viral virus
1152,an artificial waterway or channel,a deep-water channel that is used for water transportation
1153,a period of time when something is stopped,a short period of time
1154,a person that talks a lot; talkative,having a low level of intelligence
1155,"a speech sound (a, e, I, o, or u) you make with your mouth open and your tongue in the middle",a word used to form words that are used to form words
1156,being present as an idea but not in a definite form,relating to the language of the ancient world
1157,of or affecting the face,angular and angular
1158,to toss or heave,to throw something in a certain direction
1159,the qualities that make a person or thing unique,the quality of being unique
1160,to exchange one thing for another,to give something away
1161,a sweater or shirt with a high turned over collar,having a long neck and neck
1162,"an instrument designed to keep time with great accuracy, especially when at sea",a device that allows sailors to determine the distance of a ship by measuring the distance between the top of the compass and the bottom of the compass
1163,the area under the guidance of a minister or priest,a small area of a city or town
1164,actively not liking something,having the ability to do something
1165,incapable of being expressed in words,intense and intense
1166,the impression that the direction or location of an object appears to vary when observed from diverse viewpoints,the ability to be viewed or viewed
1167,to cause someone to become annoyed or angry,to make something more difficult or difficult
1168,tireless and persistent,lacking in enthusiasm or enthusiasm
1169,the main entryway located inside a building,a small room or room that is used for meetings or meetings
1170,of or relating to the ear or the sense of hearing,the condition of being unable to hear or see
1171,doubt in the ability to trust someone or something,a strong desire or desire
1172,"having a serious, important, or useful quality or purpose ",to express a feeling of happiness or happiness
1173,"specifying as unique, special or characteristic",lacking in quality or quality
1174,describes a sound that contains two or more voices or notes sounding at time,having a strong and clear voice
1175,relating to or involving inference,the ability to think or think
1176,uncertain or unsettled,not sure; not sure
1177,ascending in an awkward manner,to be in a state of motion or motionless
1178,having a great pleasure of emotion,having a strong desire for something
1179,to hold or express a different opinion,to think or think about something
1180,weak and dizzy,tired and tired
1181,to take something off,to grow or grow
1182,to eliminate or reject,to make someone or something illegal or illegal
1183,to make someone lose confidence; to discourage,to make a mistake or mistake
1184,associated with trees,a place where a person lives
1185,"a pair or couple, usually associated with one another",a person or thing that is associated with a specific thing
1186,likely to attract attention or interest,relating to the action of repeating something
1187,to use more words than necessary,unnecessary; unnecessary
1188,to move quickly or frantically to make something happen,to run away from something
1189,light in shade or color,dark and/or dark
1190,to support or defend something,to do something wrong or wrong
1191,growing or living among rocks,having a strong and strong growth
1192,animated; dramatic,relating to a person��s voice or manner
1193,causing destruction to both sides in the battle,a war or conflict
1194,to insult or verbally attack someone using abusive language,to criticize or criticize
1195,related or connected to the subject being referenced,the quality of being able to be seen or seen
1196,to trigger; motivate,to make something more difficult or difficult
1197,related to languages,a course in which students learn a foreign language
1198,"something contrived, as a mechanical device or a clever plan ",a political statement that is used to stir hatred
1199,cloudy; gloomy,not suitable for a particular purpose
1200,wrinkly from sickness or old age,the appearance of something
1201,a woman with an unpleasant personality,a person who is not concerned about others
1202,a washing or cleansing,a collection of things
1203,sentences written one after the other about one topic,a written document that is used to write a statement
1204,an agreement between two warring factions to stop fighting,a truce or truce
1205,an area or climate that gets a very low volume of water and is often extremely dry,lacking in warmth or warmth
1206,a person who supervises other people or activities,a person who is responsible for a specific task
1207,knowing all information,the ability to understand something
1208,the people of a society who are privileged and of high rank or title,a person who is a member of a royal family
1209,to conquer a problem or obstacle,to make something easier or easier
1210,to eat lots of food greedily,to eat something
1211,a detailed schedule usually for a trip,a list of things that are needed to complete a task
1212,for a person’s face to redden in color due to awkwardness or shame,to make a joke or joke
1213,to state or inform,to discuss or discuss
1214,excessively busy,having a person or thing that is not in charge of a specific task
1215,a judgmental remark or criticism,a warning or warning
1216,a claim that is not real,a lack of something
1217,something used to comfort or relieve pain,a substance that is used to treat a condition
1218,so far; up until now,a group of people or things that are together
1219,"hoarse or harsh, usually in regards to a person’s voice",having a strong and strong voice
1220,to eat too much food,to eat something
1221,energy; enthusiasm,enthusiasm and enthusiasm
1222,can't be moved to smile or show much sign of life,having a strong and strong sense of self
1223,brief interval of rest or relief,the ability to live in a comfortable and peaceful way
1224,neglect; inattention,the condition of being in a place or place for a long period of time
1225,an individual who is capable of using and understanding numerous languages,a person who is trained in a specific language
1226,to remove completely,to make something less important or important
1227,a small area that is secluded from a large space,a place where people live or play
1228,to fasten or tighten something in place by turning it,to bend or bend something
1229,to break or fail to comply with a rule or formal agreement,to act in a way that is dangerous or dangerous
1230,messages exchanged between people,a written communication between two people
1231,A factory or plant where a crude substance is converted into things that are more useful,a division of a unit of oil into different products
1232,a standing from which an individual is greatly admired,a person who is a member of a group or group
1233,tending to choose a different path from everyone else,a person who is a member of a group or group of people
1234,in excess,lacking in appearance or appearance
1235,done routinely and with little interest or care,not very good or good
1236,"professional entertainment designed to make the audience laugh, typically through jokes or satire",having a strong sense of humor
1237,an individual or group that is inexperienced or not fully matured,capable of being used in a specific way
1238,to be skilled at something based on experience,having a strong and assertive character
1239,garments,clothing or clothing that is worn or worn
1240,relating to magical or supernatural abilities,relating to a group of people
1241,a formal religious rite or ceremony,the act of being married or divorced
1242,wildlife of a specific area,a forest or area that is protected by a law or law
1243,to display a hostile stare on one’s face,to be in a state of calm or calm
1244,clear headed and serene during a catastrophe,calmly and calmly
1245,an economic market structure where a few companies or countries control all of the goods and services,a small group of people or things that are not owned by a larger group
1246,highly energized electrons that are used in chemical bonding,the number of electrons that are needed to make a chemical reaction
1247,a narrow beam of light,a light that is shining through a lens
1248,tilted to one side; in a crooked position,not easily understood or understood
1249,irritating; annoying,annoying or annoying
1250,"to clasp or join two strings, fabric or other material together",to make something more comfortable or comfortable
1251,an event at which objects such as paintings are shown to the public,a collection of images or images that are used to create a visual image
1252,"a full-length, loose-fitting dress",a magical gown that is worn to wear a dress
1253,"to stir someone up, causing them to be angry or agitated",to cause to be angry or irritated
1254,"giving permission, or predisposed to give it; lenient",lacking in respect or respect
1255,to be loud enough to echo,to be loud or loud
1256,suitable to the circumstances; appropriate,not capable of being controlled or controlled
1257,pertaining to putting something on a human’s body part usually for medical purposes,a thin layer of skin that is used to cover skin
1258,a condition in which the thyroid gland doesn't produce enough of certain important hormones,the condition of being unable to produce or produce
1259,a word that shares either the same spelling or pronunciation of another word while having a different significance,a word that is used to separate words
1260,extremely skilled,having a strong sense of self-importance
1261,to fall,to fall down or down
1262,"a longstanding procedure in science in which one observes something, forms a hypothesis, experiments on their hypothesis, and modifies it according to the result",a tool used to form a hypothesis or test
1263,a long piece of classical music that is composed for one or two instruments and contains several parts,a musical instrument that is played by two or more people
1264,the act of gaining something by working for it,the quality of being able to achieve something
1265,an unnaturally high and feminine voice particularly sung by a male,a clear and clear voice
1266,a secret meeting planned for intimate purposes,a time period in which one is together for a long period of time
1267,without mistakes,not valid; not valid
1268,to caress with one's lips or kiss,to be in a relationship with someone or something
1269,an extensive area of relatively flat grassland,a large area of land that is covered by grass
1270,"endlessness, unlimitedness; an eternity",to live or live in a certain way
1271,the size or length of something,the length of something
1272,to clarify something so it can be understood ,to guide someone or something
1273,the rate or speed of music or some other activity,speed or speed
1274,a large area where crops are grown,the condition of being in a state of slavery
1275,performed too rapidly,done in a manner that is easy to understand
